Time_sec,Sickled_fraction_percent (%)
0.0,0.0
0.5,0.0
1.0,0.0
1.5,0.0
2.0,0.0
2.5,0.0
3.0,0.0
3.5,0.0
4.0,0.8968609865470878
4.5,0.8968609865470878
5.0,0.8968609865470878
5.5,0.8968609865470878
6.0,0.8968609865470878
6.5,0.8968609865470878
7.0,0.8968609865470878
7.5,0.8968609865470878
8.0,0.8968609865470878
8.5,0.8968609865470878
9.0,0.8968609865470878
9.5,0.8968609865470878
10.0,0.8968609865470878
10.5,0.8968609865470878
11.0,0.8968609865470878
11.5,0.8968609865470878
12.0,0.8968609865470878
12.5,0.8968609865470878
13.0,0.8968609865470878
13.5,0.8968609865470878
14.0,0.8968609865470878
14.5,1.3452914798206317
15.0,1.3452914798206317
15.5,1.3452914798206317
16.0,1.3452914798206317
16.5,1.3452914798206317
17.0,1.3452914798206317
17.5,1.3452914798206317
18.0,1.3452914798206317
18.5,1.3452914798206317
19.0,1.3452914798206317
19.5,1.3452914798206317
20.0,1.7937219730941756
20.5,5.381165919282516
21.0,5.829596412556048
21.5,5.829596412556048
22.0,5.829596412556048
22.5,5.829596412556048
23.0,6.278026905829592
23.5,6.278026905829592
24.0,6.278026905829592
24.5,6.278026905829592
25.0,6.278026905829592
25.5,6.278026905829592
26.0,6.726457399103136
26.5,6.726457399103136
27.0,7.17488789237668
27.5,7.17488789237668
28.0,7.17488789237668
28.5,7.17488789237668
29.0,8.071748878923767
29.5,8.071748878923767
30.0,8.520179372197312
30.5,8.520179372197312
31.0,8.520179372197312
31.5,8.968609865470857
32.0,9.4170403587444
32.5,9.4170403587444
33.0,10.313901345291477
33.5,10.313901345291477
34.0,10.76233183856502
34.5,11.210762331838565
35.0,11.659192825112108
35.5,11.659192825112108
36.0,11.659192825112108
36.5,12.107623318385652
37.0,13.00448430493274
37.5,13.00448430493274
38.0,13.901345291479817
38.5,14.798206278026903
39.0,14.798206278026903
39.5,14.798206278026903
40.0,15.695067264573993
40.5,16.59192825112108
41.0,16.59192825112108
41.5,17.040358744394624
42.0,17.488789237668158
42.5,18.83408071748879
43.0,19.730941704035875
43.5,20.627802690582964
44.0,22.42152466367713
44.5,22.869955156950674
45.0,24.663677130044846
45.5,24.663677130044846
46.0,25.560538116591925
46.5,27.3542600896861
47.0,28.251121076233186
47.5,28.251121076233186
48.0,28.251121076233186
48.5,28.69955156950673
49.0,29.596412556053806
49.5,30.04484304932735
50.0,31.390134529147986
50.5,31.838565022421527
51.0,32.28699551569507
51.5,33.18385650224215
52.0,33.18385650224215
52.5,33.63228699551569
53.0,35.42600896860987
53.5,36.32286995515695
54.0,36.32286995515695
54.5,36.77130044843049
55.0,37.66816143497758
55.5,38.11659192825112
56.0,39.01345291479821
56.5,39.9103139013453
57.0,40.35874439461884
57.5,41.70403587443946
58.0,41.70403587443946
58.5,42.152466367713004
59.0,43.04932735426009
59.5,43.04932735426009
60.0,43.497757847533634
60.5,43.497757847533634
61.0,43.94618834080718
61.5,43.94618834080718
62.0,44.39461883408071
62.5,44.84304932735426
63.0,44.84304932735426
63.5,45.73991031390135
64.0,45.73991031390135
64.5,46.63677130044843
65.0,47.08520179372198
65.5,47.53363228699552
66.0,47.53363228699552
66.5,47.53363228699552
67.0,48.430493273542595
67.5,48.430493273542595
68.0,48.430493273542595
68.5,48.430493273542595
69.0,49.327354260089685
69.5,49.327354260089685
70.0,49.327354260089685
70.5,50.224215246636774
71.0,50.672645739910315
71.5,52.01793721973094
72.0,52.46636771300448
72.5,52.46636771300448
73.0,52.46636771300448
73.5,52.46636771300448
74.0,52.46636771300448
74.5,52.46636771300448
75.0,53.36322869955157
75.5,53.36322869955157
76.0,54.26008968609865
76.5,54.26008968609865
77.0,54.7085201793722
77.5,55.15695067264574
78.0,55.15695067264574
78.5,55.60538116591929
79.0,55.60538116591929
79.5,56.05381165919283
80.0,56.50224215246637
80.5,56.95067264573991
81.0,56.95067264573991
81.5,57.399103139013455
82.0,57.399103139013455
82.5,57.399103139013455
83.0,57.399103139013455
83.5,57.847533632286996
84.0,57.847533632286996
84.5,57.847533632286996
85.0,58.29596412556054
85.5,58.29596412556054
86.0,58.29596412556054
86.5,58.29596412556054
87.0,58.74439461883407
87.5,58.74439461883407
88.0,58.74439461883407
88.5,58.74439461883407
89.0,58.74439461883407
89.5,58.74439461883407
90.0,58.74439461883407
90.5,58.74439461883407
91.0,58.74439461883407
91.5,58.74439461883407
92.0,59.19282511210761
92.5,59.19282511210761
93.0,59.19282511210761
93.5,59.64125560538116
94.0,59.64125560538116
94.5,59.64125560538116
95.0,59.64125560538116
95.5,59.64125560538116
96.0,59.64125560538116
96.5,60.0896860986547
97.0,60.53811659192825
97.5,60.53811659192825
98.0,60.98654708520179
98.5,61.43497757847533
99.0,61.43497757847533
99.5,61.43497757847533
100.0,61.43497757847533
100.5,61.43497757847533
101.0,61.43497757847533
101.5,61.43497757847533
102.0,61.88340807174888
102.5,61.88340807174888
103.0,61.88340807174888
103.5,61.88340807174888
104.0,61.88340807174888
104.5,62.33183856502242
105.0,62.33183856502242
105.5,62.78026905829597
106.0,63.22869955156951
106.5,63.22869955156951
107.0,63.677130044843054
107.5,63.677130044843054
108.0,63.677130044843054
108.5,63.677130044843054
109.0,63.677130044843054
109.5,63.677130044843054
110.0,63.677130044843054
110.5,63.677130044843054
111.0,63.677130044843054
111.5,63.677130044843054
112.0,63.677130044843054
112.5,63.677130044843054
113.0,63.677130044843054
113.5,63.677130044843054
114.0,63.677130044843054
114.5,63.677130044843054
115.0,63.677130044843054
115.5,63.677130044843054
116.0,63.677130044843054
116.5,63.677130044843054
117.0,63.677130044843054
