Frame,Class_0,Class_0_total,Class_0_pos,Class_1,Class_1_total,Class_1_pos,Class_2,Class_2_total,Class_2_pos,Class_3,Class_3_total,Class_3_pos,Class_4,Class_4_total,Class_4_pos,Class_5,Class_5_total,Class_5_pos,Class_6,Class_6_total,Class_6_pos,FrameIndex
0,0.0,78,78,0.0,93,93,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,0
2,0.0,78,78,0.0,93,93,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,1
4,0.0,78,78,0.0,93,93,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,2
6,0.0,78,78,0.0,93,93,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,3
8,0.0,78,78,0.0,93,93,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,4
10,0.0,78,78,0.0,93,93,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,5
12,0.0,78,78,0.0,93,93,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,6
14,0.0128,78,77,0.0,93,93,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,7
16,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,8
18,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,9
20,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,10
22,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,11
24,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,12
26,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,13
28,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,14
30,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,15
32,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,16
34,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,17
36,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,18
38,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,19
40,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,20
42,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,21
44,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,22
46,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,23
48,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,24
50,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,25
52,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,26
54,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,27
56,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,28
58,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,29
60,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,30
62,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,31
64,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,32
66,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,33
68,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,34
70,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,35
72,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,36
74,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,37
76,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,38
78,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,39
80,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,40
82,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,41
84,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,42
86,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,43
88,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,44
90,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,45
92,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,46
94,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,47
96,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,48
98,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0,21,21,49
100,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0476,21,20,50
102,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.25,4,3,0.0,1,1,0.0,6,6,0.0476,21,20,51
